Filename,DictionaryIPA,DictionaryTone,VowelLength,IPA,Coda,ReclassifiedTone,ReclassifiedVowelLength,VowelQuality,PhonemicIPA,ReclassifiedIPA,ReclassifiedCoda,Exclude,DictionaryMatch,Onset,OnsType
WZ09_2_31_1,san2,2,short,san2,nasal,2,short,a,θan,θan,nasal,Extra,NA,θ,voiceless fricative
WZ09_7_150_2,ɕup7_or_kɯ1,7,short,ɕup7,obstruent,7,short,i,ɕit,ɕit,obstruent,Keep,no,ɕ,voiceless fricative
WZ09_8_80_1,ɣaːt8_or_ɣon4,8,long,ɣaːt8,obstruent,9,long,a,jaːt,jaːt,obstruent,Keep,no,j,sonorant
WZ09_8_167_1,ɕuk8,8,short,ɕuk8,obstruent,3,NA,o,kon,kɔn,nasal,Keep,no,k,voiceless stop
WZ09_3_62_1,dɯn3,3,short,dɯn3,nasal,3,short,ɯ,dɯn,dɯn,nasal,Keep,yes,d,voiced stop
WZ09_2_42_1,ɕi2,2,short,ɕi2,nocoda,2,long,,,ɕiː,nocoda,Skipped,NA,ɕ,voiceless fricative
WZ09_5_115_1,hɯn5_or_ku6,5,short,hɯn5,nasal,6,NA,au,ɕau,ɕau,nocoda,Keep,no,ɕ,voiceless fricative
WZ09_6_120_1,va6,6,short,va6,nocoda,6,long,a,waː,waː,nocoda,Keep,yes,w,sonorant
WZ09_5_108_1,tɕi5,5,short,tɕi5,nocoda,1,NA,o,toːŋ,tɤːəŋ,nasal,Keep,no,t,voiceless stop
WZ09_5_95_1,han5,5,short,han5,nasal,5,short,a,han,han,nasal,Keep,yes,h,voiceless fricative
WZ09_1_8_1,soːn1,1,long,soːn1,nasal,1,long,o,θoːn,θɤːn,nasal,Keep,yes,θ,voiceless fricative
WZ09_1_24_1,ɕɯ1,1,short,ɕɯ1,nocoda,1,short,,,kom,nasal,Exclude Item,NA,k,voiceless stop
WZ09_2_171_1,san2,2,short,san2,nasal,1,long,i,θiːn,θiːən,nasal,Keep,no,θ,voiceless fricative
WZ09_2_34_1,hum2_or_han2,2,short,hum2,nasal,2,short,o,hom,hɔm,nasal,Keep,yes,h,voiceless fricative
WZ09_1_17_1,va1,1,short,va1,nocoda,1,long,a,waː,waː,nocoda,Keep,yes,w,sonorant
WZ09_9_51_1,paːt9,9,long,paːt9,obstruent,2,NA,uə,puːən,puːən,nasal,Keep,no,p,voiceless stop
WZ09_7_135_1,ɕat7,7,short,ɕat7,obstruent,7,short,,,ɕat,obstruent,Skipped,NA,ɕ,voiceless fricative
WZ09_5_97_1,ɕoːn5,5,long,ɕoːn5,nasal,5,long,o,ɕoːn,ɕɔːn,nasal,Keep,yes,ɕ,voiceless fricative
WZ09_8_164_1,tot8,8,short,tot8,obstruent,8,short,o,tot,tɔt,obstruent,Keep,yes,t,voiceless stop
WZ09_3_67_1,do3,3,short,do3,nocoda,3,long,o,doː,dɤː,nocoda,Keep,yes,d,voiced stop
WZ09_5_92_1,taːn5,5,long,taːn5,nasal,5,long,a,taːn,taːn,nasal,Keep,yes,t,voiceless stop
WZ09_3_129_1,ɣum3,3,short,ɣum3,nasal,5,NA,o,pon,pɔn,nasal,Keep,no,p,voiceless stop
WZ09_2_40_1,ɕa2,2,short,ɕa2,nocoda,2,long,a,ɕaː,ɕaː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ09_1_22_1,ɕo1,1,short,ɕo1,nocoda,1,long,o,ɕoː,ɕɤː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ09_7_145_1,tok7,7,short,tok7,obstruent,7,short,o,tok,tɔk,obstruent,Extra,yes,t,voiceless stop
WZ09_7_146_1,tək7_or_ta3,7,short,tək7,obstruent,7,short,ə,tək,tʊk,obstruent,Keep,yes,t,voiceless stop
WZ09_5_155_1,lon5,5,short,lon5,nasal,5,short,,,lon,nasal,Skipped,NA,l,sonorant
WZ09_7_134_1,ɕat7,7,short,ɕat7,obstruent,7,short,,,joɕat,obstruent,2S,NA,j,sonorant
WZ09_1_22_2,ɕo1,1,short,ɕo1,nocoda,1,long,o,ɕoː,ɕɤː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ09_8_168_1,ɕuk8,8,short,ɕuk8,obstruent,8,short,u,ɕuk,ɕɔk,obstruent,Keep,yes,ɕ,voiceless fricative
WZ09_9_179_1,tiːt7,9,long,tiːt7,obstruent,7,short,i,tit,tiət,obstruent,Keep,no,t,voiceless stop
WZ09_5_104_1,ɕa5,5,short,ɕa5,nocoda,5,long,a,ɕaː,ɕaː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ09_4_84_1,va4,4,short,va4,nocoda,4,long,a,waː,waː,nocoda,Keep,yes,w,sonorant
WZ09_4_89_1,heːn4,4,long,heːn4,nasal,1,long,e,heːn,heːn,nasal,Keep,no,h,voiceless fricative
WZ09_7_151_1,tik7,7,short,tik7,obstruent,6,NA,a,tan,tan,nasal,Keep,no,t,voiceless stop
WZ09_5_155_2,lon5,5,short,lon5,nasal,7,short,o,tok,tɔk,obstruent,Keep,no,t,voiceless stop
WZ09_5_99_1,ɣoːn5,5,long,ɣoːn5,nasal,5,long,o,ɣoːn,ɣwɔːn,nasal,Keep,yes,ɣ,voiced fricative
WZ09_2_46_1,tin2,2,short,tin2,nasal,2,short,i,tin,tin,nasal,Keep,yes,t,voiceless stop
WZ09_4_79_1,kan4,4,short,kan4,nasal,2,short,a,kan,kan,nasal,Keep,yes,k,voiceless stop
WZ09_5_102_1,suːn5,5,long,suːn5,nasal,5,long,uə,θuːən,θuːən,nasal,Extra,NA,θ,voiceless fricative
WZ09_2_47_1,haːn2,2,long,haːn2,nasal,2,long,,,haːn,nasal,Skipped,NA,h,voiceless fricative
WZ09_3_57_1,kan3_or_kit7,3,short,kan3,nasal,3,short,a,kan,kan,nasal,Keep,yes,k,voiceless stop
WZ09_7_143_1,tɯk7,7,short,tɯk7,obstruent,7,short,ɯ,tɯk,tɯk,obstruent,Keep,yes,t,voiceless stop
WZ09_2_28_1,tiəu6_or_lau2,2,short,lau2,nocoda,2,NA,au,lau,lau,nocoda,Keep,yes,l,sonorant
WZ09_5_92_2,taːn5,5,long,taːn5,nasal,5,long,a,taːn,taːn,nasal,Keep,yes,t,voiceless stop
WZ09_5_103_1,da5,5,short,da5,nocoda,9,long,uə,fuːək,fɯːək,obstruent,Keep,no,f,voiceless fricative
WZ09_3_149_1,tiəm3,3,short,tiəm3,nasal,7,short,i,tik,tik,obstruent,Keep,no,t,voiceless stop
WZ09_9_184_1,tiŋ5_or_toːt9,9,long,toːt9,obstruent,9,long,o,toːt,tɤːt,obstruent,Keep,yes,t,voiceless stop
WZ09_2_49_1,tuən2,2,short,tuən2,nasal,2,short,,,tuən,nasal,Skipped,NA,t,voiceless stop
WZ09_2_31_2,san2,2,short,san2,nasal,2,short,a,θan,θan,nasal,Extra,NA,θ,voiceless fricative
WZ09_6_117_1,haːn6,6,long,haːn6,nasal,6,long,a,haːn,haːn,nasal,Keep,yes,h,voiceless fricative
WZ09_1_23_1,te1,1,short,te1,nocoda,1,long,e,teː,teː,nocoda,Keep,yes,t,voiceless stop
WZ09_1_24_2,ɕɯ1,1,short,ɕɯ1,nocoda,1,short,,,kom,nasal,Exclude Item,NA,k,voiceless stop
WZ09_5_105_1,ha5,5,short,ha5,nocoda,5,long,a,haː,haː,nocoda,Keep,yes,h,voiceless fricative
